class,index,pred
class_1,1,1
class_1,2,1
class_1,3,0.9
class_1,4,0.5
class_1,5,1
class_1,6,0
class_1,7,0.7
class_1,8,1
class_1,9,0.8
class_1,10,0.9
class_1,11,1
class_1,12,0.6
class_1,13,0.8
class_1,14,0.9
class_1,15,0.9
class_1,16,0
class_1,17,0.9
class_1,18,0
class_1,19,0.7
class_1,20,1
class_1,21,1
class_1,22,1
class_1,23,1
class_1,24,1
class_1,25,1
class_1,26,0
class_1,27,1
class_1,28,0.2
class_1,29,0.2
class_1,30,0
class_1,31,0.9
class_1,32,1
class_1,33,0.2
class_1,34,0.9
class_1,35,1
class_1,36,1
class_1,37,0.6
class_1,38,1
class_1,39,0.9
class_1,40,1
class_1,41,0.5
class_1,42,0.5
class_1,43,0.8
class_1,44,1
class_1,45,1
class_1,46,1
class_1,47,0.8
class_1,48,1
class_1,49,0.6
class_1,50,0.7
class_1,51,0.8
class_1,52,0.6
class_1,53,1
class_1,54,0.4
class_1,55,1
class_1,56,0.6
class_1,57,1
class_1,58,0.3
class_1,59,1
class_1,60,0.9
class_1,61,1
class_1,62,0.4
class_1,63,0.7
class_1,64,0.6
class_1,65,1
class_1,66,1
class_1,67,0.2
class_1,68,0.7
class_1,69,1
class_1,70,1
class_1,71,1
class_1,72,1
class_1,73,0.8
class_1,74,1
class_1,75,0.5
class_1,76,0.7
class_1,77,0.9
class_1,78,0.8
class_1,79,0.9
class_1,80,1
class_1,81,0.3
class_1,82,0
class_1,83,1
class_1,84,1
class_1,85,1
class_1,86,0.1
class_1,87,0.5
class_1,88,1
class_1,89,1
class_1,90,1
class_1,91,0.9
class_1,92,1
class_1,93,1
class_1,94,0.4
class_1,95,0.1
class_1,96,0.4
class_1,97,0.1
class_1,98,1
class_1,99,1
class_1,100,1
class_1,101,1
class_1,102,1
class_1,103,0.6
class_1,104,0
class_1,105,1
class_1,106,1
class_1,107,1
class_1,108,1
class_1,109,1
class_1,110,0.3
class_1,111,0.8
class_1,112,0.3
class_1,113,1
class_1,114,1
class_1,115,0.5
class_1,116,0.2
class_1,117,0.3
class_1,118,1
class_1,119,0.6
class_1,120,0.4
class_1,121,1
class_1,122,0.8
class_1,123,0.8
class_1,124,1
class_1,125,1
class_1,126,1
class_1,127,0.1
class_1,128,0.9
class_1,129,1
class_1,130,0.1
class_1,131,1
class_1,132,0.7
class_1,133,1
class_1,134,1
class_1,135,0.9
class_1,136,1
class_1,137,0.8
class_1,138,0.5
class_1,139,0.7
class_1,140,0.3
class_1,141,1
class_1,142,0.6
class_1,143,1
class_1,144,0.8
class_1,145,1
class_1,146,1
class_1,147,0.3
class_1,148,1
class_1,149,1
class_1,150,0.9
class_1,151,1
class_1,152,1
class_1,153,0.9
class_1,154,1
class_1,155,1
class_1,156,1
class_1,157,0.9
class_1,158,1
class_1,159,0.9
class_1,160,1
class_1,161,1
class_1,162,0.4
class_1,163,0.9
class_1,164,0.1
class_1,165,0.9
class_1,166,0.6
class_1,167,1
class_1,168,0.6
class_1,169,0.6
class_1,170,0.6
class_1,171,1
class_1,172,1
class_1,173,0.9
class_1,174,0
class_1,175,1
class_1,176,0.3
class_1,177,0.7
class_1,178,0.5
class_1,179,1
class_1,180,0.8
class_1,181,1
class_1,182,1
class_1,183,0.9
class_1,184,1
class_1,185,1
class_1,186,1
class_1,187,1
class_1,188,0
class_1,189,1
class_1,190,0.8
class_1,191,0.3
class_1,192,1
class_1,193,0.8
class_1,194,1
class_1,195,0.7
class_1,196,0.8
class_1,197,0.8
class_1,198,0.8
class_1,199,1
class_1,200,0.8
class_1,201,0.6
class_1,202,1
class_1,203,0.9
class_1,204,0.6
class_1,205,0.1
class_1,206,0.3
class_1,207,0.8
class_1,208,1
class_1,209,0.3
class_1,210,1
class_1,211,1
class_1,212,0.9
class_1,213,0.7
class_1,214,1
class_1,215,1
class_1,216,0.6
class_1,217,1
class_1,218,0.4
class_1,219,0.5
class_1,220,0.8
class_1,221,1
class_1,222,0.9
class_1,223,1
class_1,224,1
class_1,225,1
class_1,226,1
class_1,227,0.6
class_1,228,1
class_1,229,1
class_1,230,0.7
class_1,231,0.6
class_1,232,1
class_1,233,0.1
class_1,234,0.9
class_1,235,0.8
class_1,236,0.1
class_1,237,1
class_1,238,0.2
class_1,239,0.3
class_1,240,0.6
class_1,241,1
class_1,242,0.8
class_1,243,0.7
class_1,244,1
class_1,245,0.1
class_1,246,1
class_1,247,1
class_1,248,0.8
class_1,249,1
class_1,250,0.6
