neighbors,std_err,.config,familia,target,.estimator,n,.metric,mean,num_of_knns
5,0.006063286649692114,a,knn_chebyshev,h1n1_vaccine,binary,5,roc_auc,0.7395243813856236,1
5,0.006063286649692114,a,knn_chebyshev,h1n1_vaccine,binary,5,accuracy,0.8002096750037442,1
11,0.0017796556270795753,a,knn_chebyshev,h1n1_vaccine,binary,5,roc_auc,0.7722536041215488,1
11,0.0017796556270795753,a,knn_chebyshev,h1n1_vaccine,binary,5,accuracy,0.810423843043283,1
17,2.50609563137341e-4,a,knn_chebyshev,h1n1_vaccine,binary,5,roc_auc,0.7830319427140418,1
17,2.50609563137341e-4,a,knn_chebyshev,h1n1_vaccine,binary,5,accuracy,0.8150966002695821,1
23,0.002535902023517348,a,knn_chebyshev,h1n1_vaccine,binary,5,roc_auc,0.7862826075165321,1
23,0.002535902023517348,a,knn_chebyshev,h1n1_vaccine,binary,5,accuracy,0.8171633967350607,1
30,0.001988587842258466,a,knn_chebyshev,h1n1_vaccine,binary,5,roc_auc,0.7886966480609036,1
30,0.001988587842258466,a,knn_chebyshev,h1n1_vaccine,binary,5,accuracy,0.8173431181668415,1
5,0.0022021478239584195,a,knn_euclidean,h1n1_vaccine,binary,5,roc_auc,0.7424071890217553,1
5,0.0022021478239584195,a,knn_euclidean,h1n1_vaccine,binary,5,accuracy,0.8032349857720533,1
11,0.0013454122918362184,a,knn_euclidean,h1n1_vaccine,binary,5,roc_auc,0.7763624088232985,1
11,0.0013454122918362184,a,knn_euclidean,h1n1_vaccine,binary,5,accuracy,0.8171633967350607,1
17,0.003154027211120658,a,knn_euclidean,h1n1_vaccine,binary,5,roc_auc,0.7903761699463612,1
17,0.003154027211120658,a,knn_euclidean,h1n1_vaccine,binary,5,accuracy,0.8181818181818182,1
23,0.002549575131186668,a,knn_euclidean,h1n1_vaccine,binary,5,roc_auc,0.7975084863881382,1
23,0.002549575131186668,a,knn_euclidean,h1n1_vaccine,binary,5,accuracy,0.8223154111127753,1
30,0.0019687496450687242,a,knn_euclidean,h1n1_vaccine,binary,5,roc_auc,0.8027882758905949,1
30,0.0019687496450687242,a,knn_euclidean,h1n1_vaccine,binary,5,accuracy,0.8217163396735061,1
5,0.0029964802447621846,a,knn_hamming,h1n1_vaccine,binary,5,roc_auc,0.7322026271430023,1
5,0.0029964802447621846,a,knn_hamming,h1n1_vaccine,binary,5,accuracy,0.7986520892616444,1
11,0.004365932200200186,a,knn_hamming,h1n1_vaccine,binary,5,roc_auc,0.7678030650449487,1
11,0.004365932200200186,a,knn_hamming,h1n1_vaccine,binary,5,accuracy,0.8142279466826419,1
17,0.005242302984311601,a,knn_hamming,h1n1_vaccine,binary,5,roc_auc,0.7827054729712353,1
17,0.005242302984311601,a,knn_hamming,h1n1_vaccine,binary,5,accuracy,0.8174629324546953,1
23,0.0025710391610306634,a,knn_hamming,h1n1_vaccine,binary,5,roc_auc,0.7875338487401149,1
23,0.0025710391610306634,a,knn_hamming,h1n1_vaccine,binary,5,accuracy,0.8163546502920473,1
30,0.0036078203928985968,a,knn_hamming,h1n1_vaccine,binary,5,roc_auc,0.7902806126019533,1
30,0.0036078203928985968,a,knn_hamming,h1n1_vaccine,binary,5,accuracy,0.8178223753182567,1
5,9.740669487199982e-4,a,knn_pearson_correlation,h1n1_vaccine,binary,5,roc_auc,0.7446945106107261,1
5,9.740669487199982e-4,a,knn_pearson_correlation,h1n1_vaccine,binary,5,accuracy,0.8025460536168938,1
11,0.001696414406427332,a,knn_pearson_correlation,h1n1_vaccine,binary,5,roc_auc,0.7776167728775754,1
11,0.001696414406427332,a,knn_pearson_correlation,h1n1_vaccine,binary,5,accuracy,0.8164445110079377,1
17,0.002953124467603117,a,knn_pearson_correlation,h1n1_vaccine,binary,5,roc_auc,0.7891953563629389,1
17,0.002953124467603117,a,knn_pearson_correlation,h1n1_vaccine,binary,5,accuracy,0.8158454395686686,1
23,0.0024881305565128695,a,knn_pearson_correlation,h1n1_vaccine,binary,5,roc_auc,0.7963860348264366,1
23,0.0024881305565128695,a,knn_pearson_correlation,h1n1_vaccine,binary,5,accuracy,0.819679496779991,1
30,0.0025217100854399675,a,knn_pearson_correlation,h1n1_vaccine,binary,5,roc_auc,0.8008142203345541,1
30,0.0025217100854399675,a,knn_pearson_correlation,h1n1_vaccine,binary,5,accuracy,0.8210274075183466,1
5,0.0033795806997318173,a,knn_chebyshev,seasonal_vaccine,binary,5,roc_auc,0.7726388109588771,1
5,0.0033795806997318173,a,knn_chebyshev,seasonal_vaccine,binary,5,accuracy,0.7167590235135539,1
11,0.002624999526758299,a,knn_chebyshev,seasonal_vaccine,binary,5,roc_auc,0.7940626362344484,1
11,0.002624999526758299,a,knn_chebyshev,seasonal_vaccine,binary,5,accuracy,0.734341770256103,1
17,7.382811169007489e-4,a,knn_chebyshev,seasonal_vaccine,binary,5,roc_auc,0.8007158447031765,1
17,7.382811169007489e-4,a,knn_chebyshev,seasonal_vaccine,binary,5,accuracy,0.7357196345664221,1
23,0.0013124997633791496,a,knn_chebyshev,seasonal_vaccine,binary,5,roc_auc,0.8015641225838169,1
23,0.0013124997633791496,a,knn_chebyshev,seasonal_vaccine,binary,5,accuracy,0.7396435524936349,1
30,1.640624704224089e-4,a,knn_chebyshev,seasonal_vaccine,binary,5,roc_auc,0.8038835209509141,1
30,1.640624704224089e-4,a,knn_chebyshev,seasonal_vaccine,binary,5,accuracy,0.73637861314961806,1
5,0.0010664060577455666,a,knn_euclidean,seasonal_vaccine,binary,5,roc_auc,0.7889554868163808,1
5,0.0010664060577455666,a,knn_euclidean,seasonal_vaccine,binary,5,accuracy,0.7329938595177475,1
11,0.002542968291547125,a,knn_euclidean,seasonal_vaccine,binary,5,roc_auc,0.8119229409144839,1
11,0.002542968291547125,a,knn_euclidean,seasonal_vaccine,binary,5,accuracy,0.7484499026508912,1
17,0.0013124997633791496,a,knn_euclidean,seasonal_vaccine,binary,5,roc_auc,0.8184894975299555,1
17,0.0013124997633791496,a,knn_euclidean,seasonal_vaccine,binary,5,accuracy,0.7538714991762768,1
23,8.203123521123485e-5,a,knn_euclidean,seasonal_vaccine,binary,5,roc_auc,0.8224634519104681,1
23,8.203123521123485e-5,a,knn_euclidean,seasonal_vaccine,binary,5,accuracy,0.7589636064100644,1
30,4.921874112672267e-4,a,knn_euclidean,seasonal_vaccine,binary,5,roc_auc,0.8234538423177532,1
30,4.921874112672267e-4,a,knn_euclidean,seasonal_vaccine,binary,5,accuracy,0.7548899206230343,1
5,0.0011484372929568014,a,knn_hamming,seasonal_vaccine,binary,5,roc_auc,0.7823020169990551,1
5,0.0011484372929568014,a,knn_hamming,seasonal_vaccine,binary,5,accuracy,0.7240676950726374,1
11,0.004593749171827084,a,knn_hamming,seasonal_vaccine,binary,5,roc_auc,0.8120037355700485,1
11,0.004593749171827084,a,knn_hamming,seasonal_vaccine,binary,5,accuracy,0.7454844990265089,1
17,6.562498816895748e-4,a,knn_hamming,seasonal_vaccine,binary,5,roc_auc,0.8202706875353408,1
17,6.562498816895748e-4,a,knn_hamming,seasonal_vaccine,binary,5,accuracy,0.750217163396735,1
23,0.0019687496450687242,a,knn_hamming,seasonal_vaccine,binary,5,roc_auc,0.8249012727884149,1
23,0.0019687496450687242,a,knn_hamming,seasonal_vaccine,binary,5,accuracy,0.7545903849033997,1
30,0.0037734368197151007,a,knn_hamming,seasonal_vaccine,binary,5,roc_auc,0.8274700552999761,1
30,0.0037734368197151007,a,knn_hamming,seasonal_vaccine,binary,5,accuracy,0.7541410813239479,1
5,0.003117186938025526,a,knn_pearson_correlation,seasonal_vaccine,binary,5,roc_auc,0.791188349439543,1
5,0.003117186938025526,a,knn_pearson_correlation,seasonal_vaccine,binary,5,accuracy,0.7389845739104388,1
11,0.0019687496450687242,a,knn_pearson_correlation,seasonal_vaccine,binary,5,roc_auc,0.8121812697261853,1
11,0.0019687496450687242,a,knn_pearson_correlation,seasonal_vaccine,binary,5,accuracy,0.7487494383705257,1
17,0.0012304685281679755,a,knn_pearson_correlation,seasonal_vaccine,binary,5,roc_auc,0.8178151423685549,1
17,0.0012304685281679755,a,knn_pearson_correlation,seasonal_vaccine,binary,5,accuracy,0.750936049123858,1
23,8.203123521117404e-5,a,knn_pearson_correlation,seasonal_vaccine,binary,5,roc_auc,0.8209210972173097,1
23,8.203123521117404e-5,a,knn_pearson_correlation,seasonal_vaccine,binary,5,accuracy,0.7560880635015725,1
30,9.023435873231578e-4,a,knn_pearson_correlation,seasonal_vaccine,binary,5,roc_auc,0.8226832703549454,1
30,9.023435873231578e-4,a,knn_pearson_correlation,seasonal_vaccine,binary,5,accuracy,0.7545903849033998,1
5,5.875976086447463e-4,Preprocessor1_Model1,knn_base,h1n1_vaccine,binary,5,accuracy,0.7903546177641074,1
5,0.0030304373984531333,Preprocessor1_Model1,knn_base,h1n1_vaccine,binary,5,roc_auc,0.732569608417663,1
11,7.474823625575052e-4,Preprocessor1_Model2,knn_base,h1n1_vaccine,binary,5,accuracy,0.8112854151789899,1
11,0.00255857508399283,Preprocessor1_Model2,knn_base,h1n1_vaccine,binary,5,roc_auc,0.7645322334824354,1
17,0.0013222025686603401,Preprocessor1_Model3,knn_base,h1n1_vaccine,binary,5,accuracy,0.8185493134599918,1
17,0.0022835291516082245,Preprocessor1_Model3,knn_base,h1n1_vaccine,binary,5,roc_auc,0.7790598641162125,1
23,0.0013915038745991321,Preprocessor1_Model4,knn_base,h1n1_vaccine,binary,5,accuracy,0.8196726284961998,1
23,0.002319653620573507,Preprocessor1_Model4,knn_base,h1n1_vaccine,binary,5,roc_auc,0.7864131977264015,1
30,0.0018587332619712839,Preprocessor1_Model5,knn_base,h1n1_vaccine,binary,5,accuracy,0.8209830972806242,1
